Team,Year,player_BPM_mean,player_BPM_max,player_BPM_std,player_BPM_count,player_ORtg_mean,player_ORtg_max,player_ORtg_min,player_PRPG!_mean,player_PRPG!_max,player_PRPG!_sum,player_Usg_mean,player_Usg_max,player_Usg_sum,player_eFG_mean,player_eFG_max,player_TS_mean,player_TS_max,player_Min%_sum,player_Min%_max,player_Ast_mean,player_Ast_max,player_TO_mean,player_Blk_mean,player_Blk_max,player_Stl_mean,player_Stl_max,player_Class Year_<lambda>
UAB,2022,5.1,5.1,,1,108.6,108.6,108.6,4.7,4.7,4.7,33.4,33.4,33.4,50.8,50.8,55.7,55.7,79.5,79.5,29.9,29.9,19.6,0.1,0.1,2.5,2.5,0
UAB,2023,7.7,7.7,,1,114.8,114.8,114.8,5.0,5.0,5.0,30.4,30.4,30.4,52.2,52.2,56.5,56.5,70.5,70.5,26.3,26.3,15.3,0.0,0.0,2.1,2.1,1
UC Santa Barbara,2021,8.5,8.5,,1,120.9,120.9,120.9,4.9,4.9,4.9,25.5,25.5,25.5,55.6,55.6,61.0,61.0,81.6,81.6,32.6,32.6,14.6,0.5,0.5,2.8,2.8,1
UC Santa Barbara,2023,4.8,4.8,,1,117.3,117.3,117.3,4.7,4.7,4.7,26.2,26.2,26.2,53.6,53.6,59.8,59.8,86.6,86.6,29.7,29.7,14.6,0.9,0.9,2.3,2.3,0
UCLA,2023,9.5,9.5,,1,113.1,113.1,113.1,4.8,4.8,4.8,27.2,27.2,27.2,51.1,51.1,54.3,54.3,83.1,83.1,14.6,14.6,11.9,2.2,2.2,2.8,2.8,1
UNC Asheville,2024,10.5,10.5,,1,116.8,116.8,116.8,4.8,4.8,4.8,32.2,32.2,32.2,53.5,53.5,61.9,61.9,76.2,76.2,24.9,24.9,16.1,6.0,6.0,1.6,1.6,1
UNC Greensboro,2024,5.1,5.1,,1,121.6,121.6,121.6,4.5,4.5,4.5,29.5,29.5,29.5,57.7,57.7,63.2,63.2,64.2,64.2,8.7,8.7,12.2,3.6,3.6,1.3,1.3,1
UNLV,2022,7.5,7.5,,1,106.2,106.2,106.2,5.0,5.0,5.0,33.6,33.6,33.6,50.2,50.2,54.0,54.0,82.5,82.5,18.4,18.4,10.8,0.4,0.4,1.5,1.5,1
USC,2020,10.9,10.9,,1,119.1,119.1,119.1,4.6,4.6,4.6,23.4,23.4,23.4,61.9,61.9,64.6,64.6,68.4,68.4,8.4,8.4,15.9,9.8,9.8,2.3,2.3,0
USC,2021,12.6,12.6,,1,119.4,119.4,119.4,5.4,5.4,5.4,23.4,23.4,23.4,59.5,59.5,62.4,62.4,83.6,83.6,14.1,14.1,16.6,8.7,8.7,1.4,1.4,0
